protein_id	id_type
BAD83684.1	GenBank
ANIA_07071	Not in NCBI
ANIA_07070	Not in NCBI
ABK32246.1	GenBank
ABK32247.1	GenBank
ABK32248.1	GenBank
ABK32249.1	GenBank
ABK32250.1	GenBank
ABK32251.1	GenBank
ABK32252.1	GenBank
ABK32253.1	GenBank
ABK32254.1	GenBank
ABK32255.1	GenBank
ABK32256.1	GenBank
ABK32257.1	GenBank
ABK32258.1	GenBank
ABK32259.1	GenBank
ABK32260.1	GenBank
ABK32261.1	GenBank
ABK32262.1	GenBank
ABK32263.1	GenBank
ABK32264.1	GenBank
ABK32265.1	GenBank
ABK32266.1	GenBank
ABK32267.1	GenBank
ABK32268.1	GenBank
ABK32269.1	GenBank
ABK32270.1	GenBank
ABK32271.1	GenBank
ABK32272.1	GenBank
ABK32273.1	GenBank
ABK32274.1	GenBank
ABK32275.1	GenBank
ABK32276.1	GenBank
ABK32277.1	GenBank
ABK32278.1	GenBank
ABK32279.1	GenBank
AAV48834.1	GenBank
AAV48835.1	GenBank
AAV48836.1	GenBank
ACR33072.1	GenBank
ACR33073.1	GenBank
ACR33074.1	GenBank
ACR33075.1	GenBank
ACR33076.1	GenBank
ACR33077.1	GenBank
ACR33078.1	GenBank
ACR33079.1	GenBank
ACR33080.1	GenBank
ACR33081.1	GenBank
ACR33082.1	GenBank
ACR33083.1	GenBank
ACR33084.1	GenBank
ACR33085.1	GenBank
ACR33086.1	GenBank
ABY21538.1	GenBank
ABY21539.1	GenBank
ABY21540.1	GenBank
ABY21541.1	GenBank
ABY21542.1	GenBank
ABW91149.1	GenBank
ABW91150.1	GenBank
ABW91151.1	GenBank
ABW91152.1	GenBank
ABW91153.1	GenBank
ABW91154.1	GenBank
ABW91155.1	GenBank
ABW91156.1	GenBank
ABW91157.1	GenBank
ABW91158.1	GenBank
ABW91159.1	GenBank
ABW91160.1	GenBank
ABW91161.1	GenBank
AAM54115.1	GenBank
AAM54114.1	GenBank
AAM54113.1	GenBank
AAM54112.1	GenBank
AAM54111.1	GenBank
AAM54110.1	GenBank
AAM54109.1	GenBank
AAM54108.1	GenBank
AAM54107.1	GenBank
AAM54106.1	GenBank
AAM54105.1	GenBank
AAM54104.1	GenBank
AAM54103.1	GenBank
AAM54076.1	GenBank
AAM54075.1	GenBank
AAM54102.1	GenBank
AAM54101.1	GenBank
AAM54100.1	GenBank
AAM54099.1	GenBank
AAM54098.1	GenBank
AAM54097.1	GenBank
AAM54096.1	GenBank
AAM54095.1	GenBank
AAM54094.1	GenBank
AAM54093.1	GenBank
AAM54092.1	GenBank
AAM54091.1	GenBank
AAM54090.1	GenBank
AAM54089.1	GenBank
AAM54088.1	GenBank
AAM54087.1	GenBank
AAM54078.1	GenBank
AAM54077.1	GenBank
AAM54086.1	GenBank
AAM54085.1	GenBank
AAM54084.1	GenBank
AAM54083.1	GenBank
AAM54082.1	GenBank
AAM54081.1	GenBank
AAM54080.1	GenBank
AAM54079.1	GenBank
AEP40905.1	GenBank
AEP40906.1	GenBank
AEP40907.1	GenBank
AEP40908.1	GenBank
AEP40909.1	GenBank
AEP40910.1	GenBank
AEP40911.1	GenBank
AEP40912.1	GenBank
AEP40913.1	GenBank
AEP40914.1	GenBank
AEP40915.1	GenBank
AEP40916.1	GenBank
AEP40917.1	GenBank
AEP40918.1	GenBank
AEP40919.1	GenBank
AEP40920.1	GenBank
AEP40921.1	GenBank
AEP40922.1	GenBank
AEP40923.1	GenBank
AEP40924.1	GenBank
AEP40925.1	GenBank
AEP40926.1	GenBank
AEP40927.1	GenBank
AEP40928.1	GenBank
AEP40929.1	GenBank
AEP40930.1	GenBank
AEP40931.1	GenBank
AEP40932.1	GenBank
AEP40933.1	GenBank
AEP40934.1	GenBank
AEP40935.1	GenBank
AEP40936.1	GenBank
AEP40937.1	GenBank
AEP40938.1	GenBank
AEP40939.1	GenBank
AEP40940.1	GenBank
AEP40941.1	GenBank
AEP40942.1	GenBank
AEP40943.1	GenBank
AN1027.2	Not in NCBI
AN1028.2	Not in NCBI
AN1029.2	Not in NCBI
AN1030.2	Not in NCBI
AN1031.2	Not in NCBI
AN1032.2	Not in NCBI
AN1033.2	Not in NCBI
AN1034.2	Not in NCBI
AN1035.2	Not in NCBI
AN1036.2	Not in NCBI
AN1037.2	Not in NCBI
CAO98841.1	GenBank
CAO98842.1	GenBank
CAO98843.1	GenBank
CAO98844.1	GenBank
CAO98845.1	GenBank
CAO98846.1	GenBank
CAO98847.1	GenBank
CAO98879.1	GenBank
CAO98848.1	GenBank
CAO98849.1	GenBank
CAO98850.1	GenBank
CAO98851.1	GenBank
CAO98852.1	GenBank
CAO98853.1	GenBank
CAE02599.1	GenBank
CAE02600.1	GenBank
CAE02601.1	GenBank
CAE02602.1	GenBank
CAE02603.1	GenBank
CAE02604.1	GenBank
CAE02605.1	GenBank
CAE02606.1	GenBank
CAE02607.1	GenBank
AAK83161.1	GenBank
AAK83162.1	GenBank
AAK83163.1	GenBank
AAK83164.1	GenBank
AAK83165.1	GenBank
AAG32066.1	GenBank
AAK83166.1	GenBank
AAK83167.1	GenBank
AAK83168.1	GenBank
AAG32067.2	GenBank
AAK83169.1	GenBank
AAK83170.1	GenBank
AAK83171.1	GenBank
AAK83172.1	GenBank
AAK83173.1	GenBank
AAK83174.1	GenBank
AAK83175.1	GenBank
AAK83176.1	GenBank
AAK83177.1	GenBank
AAK83178.1	GenBank
AAK83194.1	GenBank
AAK83195.1	GenBank
AAK83196.1	GenBank
AAK83179.1	GenBank
AAK83180.1	GenBank
AAK83181.1	GenBank
AAK83182.1	GenBank
AAK83183.1	GenBank
AAK83184.1	GenBank
AAK83185.1	GenBank
AAK83186.1	GenBank
AAK83187.1	GenBank
AAK83188.1	GenBank
AAK83189.1	GenBank
AAG32068.1	GenBank
AAG32069.1	GenBank
AAK83190.1	GenBank
AAK83191.1	GenBank
AAK83192.1	GenBank
AAK83193.1	GenBank
2360	Not in NCBI
2361	GenBank
2362MpPKS5	Not in NCBI
2363R1	Not in NCBI
2364A	Not in NCBI
2365B	Not in NCBI
2366C	Not in NCBI
2367B	Not in NCBI
2368E	Not in NCBI
2369	GenBank
2370R2	Not in NCBI
2371MpFasA2	Not in NCBI
2372MpFasB2	Not in NCBI
2373	GenBank
2374	Not in NCBI
2375	GenBank
2376	Not in NCBI
2377	GenBank
2378	Not in NCBI
2379	GenBank
2380	Not in NCBI
2381F	Not in NCBI
2382	Not in NCBI
2383	GenBank
ADC79613.1	GenBank
ADC79614.1	GenBank
ADC79615.1	GenBank
ADC79616.1	GenBank
ADC79617.1	GenBank
ADC79618.1	GenBank
ADC79619.1	GenBank
ADC79620.1	GenBank
ADC79621.1	GenBank
ADC79622.1	GenBank
ADC79623.1	GenBank
ADC79624.1	GenBank
ADC79625.1	GenBank
ADC79626.1	GenBank
ADC79627.1	GenBank
ADC79628.1	GenBank
ADC79629.1	GenBank
ADC79630.1	GenBank
ACO94452.1	GenBank
ACO94453.1	GenBank
ACO94454.1	GenBank
ACO94455.1	GenBank
ACO94456.1	GenBank
ACO94457.1	GenBank
ACO94458.1	GenBank
ACO94459.1	GenBank
ACO94460.1	GenBank
ACO94461.1	GenBank
ACO94462.1	GenBank
ACO94463.1	GenBank
ACO94464.1	GenBank
ACO94465.1	GenBank
ACO94466.1	GenBank
ACO94467.1	GenBank
ACO94468.1	GenBank
ACO94469.1	GenBank
ACO94470.1	GenBank
ACO94471.1	GenBank
ACO94472.1	GenBank
ACO94473.1	GenBank
ACO94474.1	GenBank
ACO94475.1	GenBank
ACO94476.1	GenBank
ACO94477.1	GenBank
ACO94478.1	GenBank
ACO94479.1	GenBank
FFUJ_14916	Not in NCBI
FFUJ_06742	Not in NCBI
FFUJ_06743	Not in NCBI
FFUJ_06744	Not in NCBI
FFUJ_06745	Not in NCBI
FFUJ_06746	Not in NCBI
FFUJ_06747	Not in NCBI
CAE45653.1	GenBank
CAE45654.1	GenBank
CAE45655.1	GenBank
CAE45656.1	GenBank
CAE45657.1	GenBank
CAE45658.1	GenBank
CAE45659.1	GenBank
CAE45660.1	GenBank
CAE45661.1	GenBank
CAE45662.1	GenBank
CAE45663.1	GenBank
CAE45664.1	GenBank
CAE45665.1	GenBank
CAE45666.1	GenBank
CAE45667.1	GenBank
CAE45668.1	GenBank
CAE45669.1	GenBank
CAE45670.1	GenBank
CAE45671.1	GenBank
CAE45672.1	GenBank
CAE45673.1	GenBank
CAE45674.1	GenBank
CAE45675.1	GenBank
CAE45676.1	GenBank
CAE45677.1	GenBank
CAE45678.1	GenBank
CAE45679.1	GenBank
CAE45680.1	GenBank
