accession	source
BGC0000265	MIBiG
BGC0000266	MIBiG
BGC0000267	MIBiG
BGC0000268	MIBiG
BGC0000269	MIBiG
BGC0000270	MIBiG
BGC0000271	MIBiG
BGC0000272	MIBiG
BGC0000273	MIBiG
BGC0000274	MIBiG
BGC0000275	MIBiG
BGC0000277	MIBiG
BGC0000278	MIBiG
BGC0000279	MIBiG
BGC0000280	MIBiG
BGC0000281	MIBiG
BGC0000282	MIBiG
BGC0000283	MIBiG
BGC0000285	MIBiG
BGC0000286	MIBiG
BGC0000287	MIBiG
BGC0000288	MIBiG
BGC0000289	MIBiG
BGC0000290	MIBiG
BGC0000291	MIBiG
BGC0000292	MIBiG
BGC0000293	MIBiG
BGC0000294	MIBiG
BGC0000295	MIBiG
BGC0000296	MIBiG
BGC0000297	MIBiG
BGC0000298	MIBiG
BGC0000300	MIBiG
BGC0000301	MIBiG
BGC0000302	MIBiG
BGC0000303	MIBiG
BGC0000304	MIBiG
BGC0000305	MIBiG
BGC0000306	MIBiG
BGC0000307	MIBiG
BGC0000308	MIBiG
BGC0000309	MIBiG
BGC0000310	MIBiG
BGC0000311	MIBiG
BGC0000312	MIBiG
BGC0000313	MIBiG
BGC0000315	MIBiG
BGC0000316	MIBiG
BGC0000319	MIBiG
BGC0000320	MIBiG
BGC0000321	MIBiG
BGC0000322	MIBiG
BGC0000323	MIBiG
BGC0000324	MIBiG
BGC0000325	MIBiG
BGC0000326	MIBiG
BGC0000327	MIBiG
BGC0000328	MIBiG
BGC0000329	MIBiG
BGC0000330	MIBiG
BGC0000331	MIBiG
BGC0000332	MIBiG
BGC0000333	MIBiG
BGC0000334	MIBiG
BGC0000335	MIBiG
BGC0000336	MIBiG
BGC0000337	MIBiG
BGC0000339	MIBiG
BGC0000340	MIBiG
BGC0000341	MIBiG
BGC0000342	MIBiG
BGC0000343	MIBiG
BGC0000344	MIBiG
BGC0000345	MIBiG
BGC0000346	MIBiG
BGC0000347	MIBiG
BGC0000348	MIBiG
BGC0000349	MIBiG
BGC0000350	MIBiG
BGC0000351	MIBiG
BGC0000352	MIBiG
BGC0000353	MIBiG
BGC0000354	MIBiG
BGC0000355	MIBiG
BGC0000357	MIBiG
BGC0000359	MIBiG
BGC0000360	MIBiG
BGC0000362	MIBiG
BGC0000363	MIBiG
BGC0000364	MIBiG
BGC0000365	MIBiG
BGC0000366	MIBiG
BGC0000367	MIBiG
BGC0000368	MIBiG
BGC0000369	MIBiG
BGC0000371	MIBiG
BGC0000372	MIBiG
BGC0000373	MIBiG
BGC0000374	MIBiG
BGC0000375	MIBiG
BGC0000376	MIBiG
BGC0000377	MIBiG
BGC0000378	MIBiG
BGC0000379	MIBiG
BGC0000380	MIBiG
BGC0000381	MIBiG
BGC0000382	MIBiG
BGC0000383	MIBiG
BGC0000384	MIBiG
BGC0000385	MIBiG
BGC0000386	MIBiG
BGC0000387	MIBiG
BGC0000388	MIBiG
BGC0000391	MIBiG
BGC0000392	MIBiG
BGC0000393	MIBiG
BGC0000394	MIBiG
BGC0000395	MIBiG
BGC0000396	MIBiG
BGC0000397	MIBiG
BGC0000398	MIBiG
BGC0000399	MIBiG
BGC0000400	MIBiG
BGC0000401	MIBiG
BGC0000402	MIBiG
BGC0000403	MIBiG
BGC0000404	MIBiG
BGC0000405	MIBiG
BGC0000407	MIBiG
BGC0000408	MIBiG
BGC0000409	MIBiG
BGC0000410	MIBiG
BGC0000411	MIBiG
BGC0000412	MIBiG
BGC0000413	MIBiG
BGC0000414	MIBiG
BGC0000415	MIBiG
BGC0000416	MIBiG
BGC0000417	MIBiG
BGC0000418	MIBiG
BGC0000419	MIBiG
BGC0000420	MIBiG
BGC0000421	MIBiG
BGC0000422	MIBiG
BGC0000423	MIBiG
BGC0000424	MIBiG
BGC0000425	MIBiG
BGC0000426	MIBiG
BGC0000427	MIBiG
BGC0000428	MIBiG
BGC0000429	MIBiG
BGC0000430	MIBiG
BGC0000431	MIBiG
BGC0000432	MIBiG
BGC0000433	MIBiG
BGC0000434	MIBiG
BGC0000435	MIBiG
BGC0000436	MIBiG
BGC0000437	MIBiG
BGC0000438	MIBiG
BGC0000439	MIBiG
BGC0000440	MIBiG
BGC0000441	MIBiG
BGC0000442	MIBiG
BGC0000443	MIBiG
BGC0000444	MIBiG
BGC0000445	MIBiG
BGC0000446	MIBiG
BGC0000447	MIBiG
BGC0000448	MIBiG
BGC0000449	MIBiG
BGC0000450	MIBiG
BGC0000451	MIBiG
BGC0000452	MIBiG
BGC0000453	MIBiG
BGC0000454	MIBiG
BGC0000455	MIBiG
BGC0000457	MIBiG
BGC0000459	MIBiG
BGC0000460	MIBiG
BGC0000461	MIBiG
BGC0000464	MIBiG
BGC0000465	MIBiG
BGC0000466	MIBiG
BGC0000467	MIBiG
BGC0000468	MIBiG
BGC0000469	MIBiG
BGC0000470	MIBiG
BGC0000471	MIBiG
BGC0000472	MIBiG
BGC0000473	MIBiG
BGC0000474	MIBiG
BGC0000475	MIBiG
BGC0000476	MIBiG
BGC0000477	MIBiG
BGC0000478	MIBiG
BGC0000479	MIBiG
BGC0000480	MIBiG
BGC0000482	MIBiG
BGC0000483	MIBiG
BGC0000484	MIBiG
BGC0000485	MIBiG
BGC0000486	MIBiG
BGC0000487	MIBiG
BGC0000488	MIBiG
BGC0000489	MIBiG
BGC0000490	MIBiG
BGC0000491	MIBiG
BGC0000492	MIBiG
BGC0000493	MIBiG
BGC0000494	MIBiG
BGC0000495	MIBiG
BGC0000496	MIBiG
BGC0000497	MIBiG
BGC0000498	MIBiG
BGC0000499	MIBiG
BGC0000500	MIBiG
BGC0000501	MIBiG
BGC0000502	MIBiG
BGC0000503	MIBiG
BGC0000504	MIBiG
BGC0000505	MIBiG
BGC0000506	MIBiG
BGC0000507	MIBiG
BGC0000508	MIBiG
BGC0000509	MIBiG
BGC0000510	MIBiG
BGC0000511	MIBiG
BGC0000513	MIBiG
BGC0000514	MIBiG
BGC0000515	MIBiG
BGC0000516	MIBiG
BGC0000517	MIBiG
BGC0000518	MIBiG
BGC0000519	MIBiG
BGC0000520	MIBiG
BGC0000521	MIBiG
BGC0000522	MIBiG
BGC0000523	MIBiG
BGC0000525	MIBiG
BGC0000526	MIBiG
BGC0000527	MIBiG
BGC0000528	MIBiG
BGC0000529	MIBiG
BGC0000530	MIBiG
BGC0000531	MIBiG
BGC0000532	MIBiG
BGC0000533	MIBiG
BGC0000534	MIBiG
BGC0000535	MIBiG
BGC0000536	MIBiG
BGC0000537	MIBiG
BGC0000538	MIBiG
BGC0000539	MIBiG
BGC0000540	MIBiG
BGC0000541	MIBiG
BGC0000542	MIBiG
BGC0000543	MIBiG
BGC0000544	MIBiG
BGC0000545	MIBiG
BGC0000546	MIBiG
BGC0000547	MIBiG
BGC0000548	MIBiG
BGC0000549	MIBiG
BGC0000550	MIBiG
BGC0000551	MIBiG
BGC0000552	MIBiG
BGC0000553	MIBiG
BGC0000554	MIBiG
BGC0000555	MIBiG
BGC0000556	MIBiG
BGC0000557	MIBiG
BGC0000558	MIBiG
BGC0000559	MIBiG
BGC0000560	MIBiG
BGC0000561	MIBiG
BGC0000562	MIBiG
BGC0000563	MIBiG
BGC0000564	MIBiG
BGC0000565	MIBiG
BGC0000566	MIBiG
BGC0000567	MIBiG
BGC0000568	MIBiG
BGC0000569	MIBiG
BGC0000570	MIBiG
BGC0000571	MIBiG
BGC0000572	MIBiG
BGC0000573	MIBiG
BGC0000574	MIBiG
BGC0000575	MIBiG
BGC0000576	MIBiG
BGC0000577	MIBiG
BGC0000578	MIBiG
BGC0000579	MIBiG
BGC0000580	MIBiG
BGC0000581	MIBiG
BGC0000582	MIBiG
BGC0000583	MIBiG
BGC0000584	MIBiG
BGC0000585	MIBiG
BGC0000586	MIBiG
BGC0000587	MIBiG
BGC0000588	MIBiG
BGC0000589	MIBiG
BGC0000590	MIBiG
BGC0000591	MIBiG
BGC0000592	MIBiG
BGC0000593	MIBiG
BGC0000594	MIBiG
BGC0000595	MIBiG
BGC0000597	MIBiG
BGC0000598	MIBiG
BGC0000599	MIBiG
BGC0000600	MIBiG
BGC0000601	MIBiG
BGC0000602	MIBiG
BGC0000603	MIBiG
BGC0000604	MIBiG
BGC0000605	MIBiG
BGC0000606	MIBiG
BGC0000607	MIBiG
BGC0000608	MIBiG
BGC0000609	MIBiG
BGC0000610	MIBiG
BGC0000611	MIBiG
BGC0000612	MIBiG
BGC0000613	MIBiG
BGC0000614	MIBiG
BGC0000615	MIBiG
BGC0000616	MIBiG
BGC0000617	MIBiG
BGC0000618	MIBiG
BGC0000619	MIBiG
BGC0000620	MIBiG
BGC0000621	MIBiG
BGC0000622	MIBiG
BGC0000623	MIBiG
BGC0000624	MIBiG
BGC0000625	MIBiG
BGC0000626	MIBiG
BGC0000627	MIBiG
BGC0000628	MIBiG
BGC0000630	MIBiG
BGC0000631	MIBiG
BGC0000632	MIBiG
BGC0000633	MIBiG
BGC0000634	MIBiG
BGC0000635	MIBiG
BGC0000636	MIBiG
BGC0000637	MIBiG
BGC0000638	MIBiG
BGC0000639	MIBiG
BGC0000640	MIBiG
BGC0000641	MIBiG
BGC0000642	MIBiG
BGC0000643	MIBiG
BGC0000644	MIBiG
BGC0000645	MIBiG
BGC0000646	MIBiG
BGC0000647	MIBiG
BGC0000648	MIBiG
BGC0000649	MIBiG
BGC0000650	MIBiG
BGC0000651	MIBiG
BGC0000652	MIBiG
BGC0000653	MIBiG
BGC0000654	MIBiG
BGC0000656	MIBiG
BGC0000657	MIBiG
BGC0000658	MIBiG
BGC0000659	MIBiG
BGC0000660	MIBiG
BGC0000662	MIBiG
BGC0000663	MIBiG
BGC0000664	MIBiG
BGC0000665	MIBiG
BGC0000666	MIBiG
BGC0000667	MIBiG
BGC0000668	MIBiG
BGC0000669	MIBiG
BGC0000670	MIBiG
BGC0000671	MIBiG
BGC0000672	MIBiG
BGC0000673	MIBiG
BGC0000674	MIBiG
BGC0000675	MIBiG
BGC0000676	MIBiG
BGC0000677	MIBiG
BGC0000678	MIBiG
BGC0000679	MIBiG
BGC0000682	MIBiG
BGC0000683	MIBiG
BGC0000684	MIBiG
BGC0000685	MIBiG
BGC0000686	MIBiG
BGC0000687	MIBiG
BGC0000688	MIBiG
BGC0000689	MIBiG
BGC0000690	MIBiG
BGC0000692	MIBiG
BGC0000693	MIBiG
BGC0000694	MIBiG
BGC0000696	MIBiG
BGC0000698	MIBiG
BGC0000699	MIBiG
BGC0000700	MIBiG
BGC0000701	MIBiG
BGC0000702	MIBiG
BGC0000703	MIBiG
BGC0000704	MIBiG
BGC0000705	MIBiG
BGC0000706	MIBiG
BGC0000707	MIBiG
BGC0000708	MIBiG
BGC0000709	MIBiG
BGC0000711	MIBiG
BGC0000712	MIBiG
BGC0000713	MIBiG
BGC0000714	MIBiG
BGC0000715	MIBiG
BGC0000716	MIBiG
BGC0000719	MIBiG
BGC0000720	MIBiG
BGC0000721	MIBiG
BGC0000722	MIBiG
BGC0000723	MIBiG
BGC0000724	MIBiG
BGC0000725	MIBiG
BGC0000727	MIBiG
BGC0000728	MIBiG
BGC0000729	MIBiG
BGC0000730	MIBiG
BGC0000731	MIBiG
BGC0000732	MIBiG
BGC0000733	MIBiG
BGC0000734	MIBiG
BGC0000735	MIBiG
BGC0000736	MIBiG
BGC0000737	MIBiG
BGC0000738	MIBiG
BGC0000739	MIBiG
BGC0000740	MIBiG
BGC0000741	MIBiG
BGC0000742	MIBiG
BGC0000743	MIBiG
BGC0000744	MIBiG
BGC0000745	MIBiG
BGC0000746	MIBiG
BGC0000747	MIBiG
BGC0000748	MIBiG
BGC0000749	MIBiG
BGC0000751	MIBiG
BGC0000752	MIBiG
BGC0000753	MIBiG
BGC0000754	MIBiG
BGC0000755	MIBiG
BGC0000756	MIBiG
BGC0000757	MIBiG
BGC0000758	MIBiG
BGC0000759	MIBiG
BGC0000760	MIBiG
BGC0000761	MIBiG
BGC0000762	MIBiG
BGC0000763	MIBiG
BGC0000764	MIBiG
BGC0000765	MIBiG
BGC0000766	MIBiG
BGC0000767	MIBiG
BGC0000768	MIBiG
BGC0000769	MIBiG
BGC0000770	MIBiG
BGC0000772	MIBiG
BGC0000773	MIBiG
BGC0000774	MIBiG
BGC0000775	MIBiG
BGC0000776	MIBiG
BGC0000777	MIBiG
BGC0000778	MIBiG
BGC0000779	MIBiG
BGC0000780	MIBiG
BGC0000781	MIBiG
BGC0000782	MIBiG
BGC0000783	MIBiG
BGC0000784	MIBiG
BGC0000785	MIBiG
BGC0000786	MIBiG
BGC0000787	MIBiG
BGC0000788	MIBiG
BGC0000789	MIBiG
BGC0000790	MIBiG
BGC0000791	MIBiG
BGC0000792	MIBiG
BGC0000793	MIBiG
BGC0000794	MIBiG
BGC0000795	MIBiG
BGC0000796	MIBiG
BGC0000797	MIBiG
BGC0000798	MIBiG
BGC0000799	MIBiG
BGC0000800	MIBiG
BGC0000801	MIBiG
BGC0000802	MIBiG
BGC0000803	MIBiG
BGC0000804	MIBiG
BGC0000806	MIBiG
BGC0000807	MIBiG
BGC0000809	MIBiG
BGC0000810	MIBiG
BGC0000811	MIBiG
BGC0000812	MIBiG
BGC0000813	MIBiG
BGC0000814	MIBiG
BGC0000815	MIBiG
BGC0000816	MIBiG
BGC0000817	MIBiG
BGC0000818	MIBiG
BGC0000819	MIBiG
BGC0000820	MIBiG
BGC0000821	MIBiG
BGC0000825	MIBiG
BGC0000826	MIBiG
BGC0000827	MIBiG
BGC0000829	MIBiG
BGC0000830	MIBiG
BGC0000831	MIBiG
BGC0000832	MIBiG
BGC0000833	MIBiG
BGC0000834	MIBiG
BGC0000836	MIBiG
BGC0000837	MIBiG
BGC0000838	MIBiG
BGC0000840	MIBiG
BGC0000841	MIBiG
BGC0000842	MIBiG
BGC0000843	MIBiG
BGC0000844	MIBiG
BGC0000845	MIBiG
BGC0000846	MIBiG
BGC0000847	MIBiG
BGC0000848	MIBiG
BGC0000849	MIBiG
BGC0000850	MIBiG
BGC0000851	MIBiG
BGC0000852	MIBiG
BGC0000853	MIBiG
BGC0000854	MIBiG
BGC0000855	MIBiG
BGC0000856	MIBiG
BGC0000857	MIBiG
BGC0000858	MIBiG
BGC0000859	MIBiG
BGC0000860	MIBiG
BGC0000861	MIBiG
BGC0000862	MIBiG
BGC0000863	MIBiG
BGC0000864	MIBiG
BGC0000865	MIBiG
BGC0000866	MIBiG
BGC0000867	MIBiG
BGC0000868	MIBiG
BGC0000869	MIBiG
BGC0000870	MIBiG
BGC0000871	MIBiG
BGC0000872	MIBiG
BGC0000873	MIBiG
BGC0000874	MIBiG
BGC0000875	MIBiG
BGC0000876	MIBiG
BGC0000877	MIBiG
BGC0000878	MIBiG
BGC0000879	MIBiG
BGC0000880	MIBiG
BGC0000881	MIBiG
BGC0000882	MIBiG
BGC0000883	MIBiG
BGC0000884	MIBiG
BGC0000885	MIBiG
BGC0000886	MIBiG
BGC0000888	MIBiG
BGC0000889	MIBiG
BGC0000890	MIBiG
BGC0000891	MIBiG
BGC0000892	MIBiG
BGC0000893	MIBiG
BGC0000894	MIBiG
BGC0000895	MIBiG
BGC0000896	MIBiG
BGC0000897	MIBiG
BGC0000898	MIBiG
BGC0000899	MIBiG
BGC0000900	MIBiG
BGC0000901	MIBiG
BGC0000902	MIBiG
BGC0000903	MIBiG
BGC0000904	MIBiG
BGC0000905	MIBiG
BGC0000906	MIBiG
BGC0000907	MIBiG
BGC0000908	MIBiG
BGC0000909	MIBiG
BGC0000910	MIBiG
BGC0000911	MIBiG
BGC0000912	MIBiG
BGC0000913	MIBiG
BGC0000914	MIBiG
BGC0000916	MIBiG
BGC0000917	MIBiG
BGC0000918	MIBiG
BGC0000919	MIBiG
BGC0000920	MIBiG
BGC0000921	MIBiG
BGC0000922	MIBiG
BGC0000923	MIBiG
